Geneid	SRR26327154
100287102	0
653635	34
102466751	0
100302278	0
645520	0
79501	0
729737	69
102725121	9
102723897	106
102465909	0
729759	0
100132287	12
105378947	3
101928626	0
102465432	2
81399	0
100133331	6
100288069	40
400728	71
79854	31
643837	178
284593	0
100130417	2
148398	27
26155	316
339451	31
84069	7
84808	0
57801	158
9636	283
375790	72
105369174	19
105378948	24
401934	8
54991	129
254099	2
406984	0
406983	0
554210	0
254173	6
8784	33
7293	72
51150	572
126792	89
388581	78
118424	407
6339	41
116983	197
102465434	0
126789	73
54973	648
102465435	0
80772	202
83756	114
1855	286
102466740	0
54587	29
54998	251
81669	2654
148413	402
55052	339
441869	0
643965	0
102724312	0
64856	0
219293	0
83858	445
55210	37
339453	5
29101	476
643988	1
142678	195
8510	8
984	557
728661	727
8511	2
728642	575
9906	211
65220	1232
2782	3600
105378949	99
163688	0
339456	1
85452	0
2563	0
5590	78
100506504	28
199990	160
105378592	3
6497	2145
105378594	152
79906	26
100129534	1
11079	233
5192	61
9651	0
55229	0
388585	0
115110	0
8764	0
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	4
1953	249
693135	0
127262	672
49856	193
7161	34
57212	271
148870	12
388588	15
57470	532
9731	359
1677	90
339448	313
100133612	0
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	42
8514	2559
26038	2
6146	972
102724450	4
388591	73
23463	63
148645	0
390992	0
387509	11
11332	12
54626	0
83715	29
100422975	0
8718	1719
57449	35
79707	1204
80835	57
3104	482
9903	1427
148479	323
90326	198
55735	289
100505887	0
23261	270
9341	559
8863	54
10911	1
3604	102
11315	553
54206	8
102724539	0
50651	1
473	1717
102724552	5
2023	2514
102465436	1
100505975	2
765	37
155184	7
6518	33
80045	80
407040	0
9563	533
80176	27
100506022	0
84275	69
199953	161
5293	6141
644997	129
101929074	32
22883	1473
56998	148
84328	114
64802	19
100847055	0
105376719	0
116362	23
10277	964
23095	426
100422970	0
5226	741
100526739	0
378708	7
1325	4
1676	196
5195	240
54897	2089
148345	0
23435	1465
10747	225
6723	72
5394	1167
2475	2092
100873935	9
10218	35
29914	375
57540	6
101929181	0
26232	7
93611	165
26270	65
10459	228
374946	5
57085	170
284498	9
102724659	2
4524	1191
1185	1035
100379251	11
4878	5
4879	2
26829	124
90231	264
5351	34
9927	1538
60672	194
102466982	0
943	22
102465836	0
7133	7269
100616438	0
55187	4060
677885	20
9249	1948
102466722	10
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	27
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	6751
23254	15
200197	0
55092	16
727684	1
114827	11
101927417	0
79180	6551
11330	82
63036	8
51032	7
842	343
23341	282
79814	27
84301	546
6248	295
23207	4387
284723	62
388595	0
54751	5
440567	72
729614	122
23013	5774
7709	692
101928566	1
149563	0
27129	0
1187	0
1188	0
348487	0
1969	62
128272	33
101927546	27
79363	84
54455	1096
26099	3389
374955	138
55707	1518
114819	381
26871	114
100126512	4
100126517	3
102724970	0
100133301	0
7195	2
55672	34
84809	254
11209	1
26869	0
729574	0
100126533	4
284729	0
100189045	0
102723383	0
6060	4
11223	5
100500876	0
100189298	0
7193	6
791226	0
9696	219
26870	143
4237	3
23400	188
6390	359
11240	509
29943	0
51702	0
100616188	0
23569	85
353238	3
55920	1269
55160	41
81569	0
101927876	0
84966	1
127707	1
5081	0
80834	2
8659	41
100616120	0
100302276	0
126917	2873
23352	16560
23065	657
51154	159
246181	15
22977	22
100506730	27
8574	102
54896	602
832	2149
100532736	0
440574	205
644068	511
4681	37
3362	11
255104	109
54546	0
23252	333
30814	0
5320	0
5322	0
26279	0
64600	4
391013	0
127733	77
101928017	3
127731	0
339505	0
55450	19
79594	662
163933	0
978	117
65018	165
102464833	0
100861548	329
1650	819
57576	8
400745	9
50809	1690
8672	473
100302155	0
1889	4913
100506801	214
84224	55
249	1114
5909	55
84196	945
401944	12
3339	17
23436	0
10136	0
101928043	32
29092	170
998	3579
54361	155
100616433	0
9923	1008
2046	7
102466615	0
712	3
714	1
713	0
2048	12
100616391	0
100422914	0
646262	0
729059	2
23028	847
100422866	4
100616177	4
7798	2423
3352	0
100996511	12
10236	1381
80818	147
148898	15
6920	58
55616	6
1870	23
101928163	0
3399	203
259283	7
6135	4559
6924	710
100506963	12
57095	663
11313	333
2582	134
3155	80
2517	92
1269	154
100616492	0
55629	985
10772	1921
127294	3
58985	6
163702	262
284632	0
57822	1
90529	19
57185	495
100750325	10
11123	1606
100506985	177
400746	2
10250	3082
25932	580
864	9359
102465437	16
100616365	7
25949	671
57035	1429
6007	154
23585	734
6006	36
55219	1419
26119	545
57134	192
57190	436
56181	168
646471	98
79000	3
164091	60
3925	70
100500808	0
5051	407
2134	2
7780	0
105376910	0
84676	0
149420	289
79927	0
105376887	0
51042	42
10256	6
378807	0
101928303	0
64793	232
83442	682
91544	362
1043	548
55057	16
257101	13
79727	4
79947	236
101928324	30
3151	591
6195	974
100302190	3
101928728	99
8289	5543
55650	158
84243	5215
2810	86
