Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR26327152_1	20127075	8623296	20127075	1016259090	689253	1003593177	1.2463271546235322
SRR26327152_2	20127075	8402986	20127075	1016177796	1065208	1003273137	1.2699213711219488
SRR26327153_1	21892000	9406749	21892000	1105435636	766088	1091613463	1.2503824329397681
SRR26327153_2	21892000	9237635	21892000	1105319468	1197252	1091109739	1.2855766510393174
SRR26327154_1	21001230	9042929	21001230	1060546084	692810	1047318201	1.2472709295299231
SRR26327154_2	21001230	8991617	21001230	1060475980	1044863	1046777457	1.2917334535007572
SRR26327155_1	21079336	9009090	21079336	1064369549	691576	1051137245	1.2432058031378348
SRR26327155_2	21079336	8792019	21079336	1064127637	1086131	1050651518	1.2664006206992253
SRR26327156_1	21011428	9149550	21011428	1061082994	715422	1047630041	1.2678511554770993
SRR26327156_2	21011428	9002792	21011428	1060963084	1149217	1047133213	1.303520471971483
SRR26327157_1	20782717	8892022	20782717	1049309617	821922	1036070663	1.2616823276480083
SRR26327157_2	20782717	8425693	20782717	1048970781	1298207	1035823002	1.2533980200540973
