Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate
SRR26327152_1	1.2463271546235322	46.898111714557544	49.0	50.49214006506161	18.181818181818183	20127075.0			
SRR26327152_1_val_1		46.365597046764385	49.0	49.86646322586923	18.181818181818183	20121169.0			
SRR26327152_2	1.2699213711219488	48.03557912308064	51.0	50.48810102809276	9.090909090909092	20127075.0			
SRR26327152_2_val_2		47.45835930094974	51.0	49.857312415595736	9.090909090909092	20121169.0			
SRR26327153_1	1.2503824329397681	46.607534881715765	49.0	50.49495870637676	9.090909090909092	21892000.0			
SRR26327153_1_val_1		46.10112092648243	49.0	49.86630560787381	9.090909090909092	21885817.0			
SRR26327153_2	1.2855766510393174	47.48459140445653	50.0	50.489652293075096	9.090909090909092	21892000.0			
SRR26327153_2_val_2		46.91753523005223	50.0	49.8509903468534	9.090909090909092	21885817.0			
SRR26327154_1	1.2472709295299231	51.52313236115217	48.0	50.499236663757316	18.181818181818183	21001230.0			
SRR26327154_1_val_1		50.94417172559902	48.0	49.87184679307285	18.181818181818183	20996283.0			
SRR26327154_2	1.2917334535007572	52.38100721550239	49.0	50.49589857355974	18.181818181818183	21001230.0			
SRR26327154_2_val_2		51.804716087086234	49.0	49.852106156122964	18.181818181818183	20996283.0			
SRR26327155_1	1.2432058031378348	43.67116438826749	49.0	50.49350458667199	18.181818181818183	21079336.0			
SRR26327155_1_val_1		43.14187492826007	50.0	49.86859718791383	18.181818181818183	21073963.0			
SRR26327155_2	1.2664006206992253	44.82870591870298	50.0	50.482028323852326	9.090909090909092	21079336.0			
SRR26327155_2_val_2		44.2954045514116	51.0	49.8520542149571	9.090909090909092	21073963.0			
SRR26327156_1	1.2678511554770993	53.727043799714295	48.0	50.50027984770954	18.181818181818183	21011428.0			
SRR26327156_1_val_1		53.08240690147019	48.0	49.86471824616827	18.181818181818183	21004843.0			
SRR26327156_2	1.303520471971483	54.325030136384115	49.0	50.4945729533471	18.181818181818183	21011428.0			
SRR26327156_2_val_2		53.666377142277646	49.0	49.84653343993097	18.181818181818183	21004843.0			
SRR26327157_1	1.2616823276480083	45.25827873133611	50.0	50.48953017067018	18.181818181818183	20782717.0			
SRR26327157_1_val_1		44.76489572210889	51.0	49.85594835200539	18.181818181818183	20775250.0			
SRR26327157_2	1.2533980200540973	45.57792123531536	51.0	50.47322643136602	18.181818181818183	20782717.0			
SRR26327157_2_val_2		45.07391821364743	51.0	49.853535047713024	18.181818181818183	20775250.0			
control_1							45.40544357690922	21237603	
control_1.hisat2									98.15
control_2							44.21134129638269	20552696	
control_2.hisat2									98.03
control_3							36.4363746536006	17017126	
control_3.hisat2									97.53
zcchc8_1							39.41027444288295	17785473	
zcchc8_1.hisat2									97.91
zcchc8_2							43.7051617565863	21419926	
zcchc8_2.hisat2									97.82
zcchc8_3							46.24939457724495	21701029	
zcchc8_3.hisat2									98.07
